R,a0,a2,a4,b3,b5,E
1.62,0.21,-0.0405365,0.00327313,-0.00062664,0.00519754,154.106
1.62,0.22,-0.0459935,0.00424189,-0.00157326,0.000273616,143.27
1.62,0.23,-0.0473653,0.00431535,-0.00168116,0.000289009,138.106
1.62,0.24,-0.0486561,0.00437683,-0.00178814,0.000303652,133.417
1.63,0.2,-0.0177419,0.000608364,0.000344056,0.015136,205.036
1.63,0.21,-0.0417922,0.00350775,-0.000763845,0.00438455,152.897
1.63,0.22,-0.0461635,0.00426809,-0.00157712,0.000274862,143.614
1.63,0.23,-0.0475393,0.00434185,-0.0016851,0.000290284,138.438
1.63,0.24,-0.0488336,0.00440354,-0.00179213,0.00030495,133.738
1.64,0.2,-0.0188084,0.00069418,0.000346679,0.0147537,202.801
1.64,0.21,-0.0430498,0.00375367,-0.000926692,0.00345408,151.819
1.64,0.22,-0.0463339,0.00429437,-0.00158106,0.000276126,143.961
1.64,0.23,-0.0477134,0.00436841,-0.00168913,0.000291577,138.773
1.64,0.24,-0.0490113,0.00443031,-0.00179621,0.000306264,134.062
1.65,0.2,-0.0198691,0.00078228,0.000345972,0.0143709,200.643
1.65,0.21,-0.0450401,0.00423408,-0.00147641,0.00026125,150.058
1.65,0.22,-0.0465045,0.00432073,-0.00158509,0.000277407,144.312
1.65,0.23,-0.0478878,0.00439503,-0.00169324,0.000292887,139.112
1.65,0.24,-0.0491891,0.00445712,-0.00180038,0.000307594,134.39
